frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,6,False,False,,,
00255,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,6,False,False,,,
00270,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,6,False,False,,,
00285,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,7,False,False,,,
00300,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,7,False,False,,,
00315,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,7,False,False,,,
00330,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,7,False,False,,,
00345,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,7,False,False,,,
00360,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,8,False,False,,,
00375,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,8,False,False,,,
00390,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,8,False,False,,,
00405,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,8,False,False,,,
00420,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,8,False,False,,,
00435,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,8,False,False,,,
00450,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,9,False,False,,,
00465,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,9,False,False,,,
00480,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,10,False,False,,,
00495,X,105.0,Fireball,30.0,The Log,97.0,Skeletons,93.0,,,,10,False,False,,,
00510,X,105.0,Fireball,30.0,The Log,97.0,Archers,109.0,Skeletons,93.0,4.0,10,True,False,,Skeletons,1.0
00525,X,105.0,Fireball,30.0,The Log,97.0,Archers,109.0,,,,8,False,True,,,
00540,X,105.0,Fireball,30.0,The Log,97.0,Archers,109.0,,,,9,False,False,,,
00555,X,105.0,Fireball,30.0,The Log,97.0,Archers,109.0,,,,9,False,False,,,
00570,X,105.0,Fireball,30.0,The Log,97.0,Archers,109.0,,,,5,False,True,,,
00585,X,105.0,Fireball,30.0,The Log,97.0,Archers,109.0,,,,5,False,False,,,
00600,X,105.0,Fireball,30.0,The Log,97.0,Archers,109.0,,,,5,False,False,,,
00615,X,105.0,Fireball,30.0,The Log,97.0,Tesla,96.0,Archers,109.0,4.0,7,True,False,,Archers,3.0
00630,X,105.0,Fireball,30.0,The Log,97.0,Tesla,96.0,,,,7,False,False,,,
00645,X,105.0,Fireball,30.0,The Log,97.0,Tesla,96.0,,,,7,False,False,,,
00660,X,105.0,Fireball,30.0,The Log,97.0,Tesla,96.0,,,,7,False,False,,,
00675,X,105.0,Fireball,30.0,The Log,97.0,Tesla,96.0,,,,7,False,False,,,
00690,X,105.0,Fireball,30.0,The Log,97.0,Tesla,96.0,,,,7,False,False,,,
